Followers,Average_Likes,Average_Comments,Average_Engagement_Rate,Engagement_Rate_(60_Days),Posting_frequency_(last_60_days),Posts_(image),Posts_(videos),Posts_(carousel),Average_Hashtags_/_Post_(60_Days)
46091767,579900.94,6269.25,1.2717,0.4588,71,1,27,43,0.859
45916230,2012107.0,217.98,4.3826,3.1652,4,0,0,4,0.0
45822094,1137054.13,4820.9,2.492,0.8649,179,36,80,63,1.022
45807054,650651.25,5624.25,1.4327,1.6831,19,1,11,7,1.158
45803997,3014369.75,12261.45,6.6078,5.1357,15,0,7,8,0.067
45782549,189864.0,455.88,0.4157,0.1163,104,41,40,23,0.481
45180601,431240.25,903.1,0.9565,0.4447,20,3,8,9,1.15
44569769,1090495.75,3599.15,2.4548,1.2983,31,5,18,8,0.677
44507303,1366929.0,5184.59,3.0829,3.2602,16,0,9,7,0.375
44043371,801790.5,3327.2,1.828,0.9638,20,1,2,17,0.15
43950253,564755.73,2424.51,1.2905,1.1284,28,0,7,21,0.5
43727522,476983.71,6853.56,1.1065,1.0194,71,5,45,21,0.986
43427057,1615511.5,6873.61,3.7359,3.8217,9,2,4,3,1.111
43340622,383991.93,2543.39,0.8919,0.2973,21,6,11,4,0.286
43312974,1326973.63,10851.72,3.0887,2.0691,33,6,9,18,1.03
43215034,1065018.25,5572.78,2.4774,1.5428,29,6,14,9,1.448
43067731,1002055.0,7223.03,2.3435,0.9384,15,3,5,7,1.267
42991683,806313.0,2654.31,1.8817,0.9149,6,0,4,2,1.5
42970746,67247.15,454.87,0.1576,0.0283,426,199,213,14,0.284
42000622,664476.0,3186.9,1.5897,1.1204,10,2,6,2,1.7
41807497,523267.07,9891.54,1.2753,1.1261,43,20,20,3,0.0
41681598,1058071.0,10442.05,2.5635,0.0251,5,0,5,0,0.0
41310397,3644587.5,58246.56,8.9634,14.6266,2,0,1,1,0.0
41223938,88831.5,532.82,0.2168,0.1561,233,32,72,129,2.176
41161527,1364004.6,5436.97,3.327,2.2516,75,7,41,27,1.2
40741767,4565592.5,36019.4,11.2946,1.8841,7,1,3,3,0.0
40573646,586382.33,3469.9,1.4538,0.0087,23,0,5,18,0.391
40402560,3150451.0,8362.43,7.8183,3.3012,23,4,4,15,0.043
40223677,1141438.67,7543.17,2.8565,3.9671,26,7,13,6,0.038
40112340,1015087.5,3003.62,2.5381,0.7576,10,2,5,3,0.6
39745058,250762.07,715.55,0.6327,0.4098,15,6,5,4,0.267
39515025,346708.0,1254.34,0.8806,0.4201,905,339,300,266,0.291
39439449,738566.85,4255.08,1.8834,0.7035,18,2,13,3,0.111
39025459,2237436.0,7401.98,5.7522,8.7571,16,2,6,8,0.125
