Followers,Average_Likes,Average_Comments,Average_Engagement_Rate,Engagement_Rate_(60_Days),Posting_frequency_(last_60_days),Posts_(image),Posts_(videos),Posts_(carousel),Average_Hashtags_/_Post_(60_Days)
32266,3163.64,32.8,9.9065,7.0389,68.0,5.0,0.0,63.0,22.162
82084,7772.29,606.35,10.2074,7.5431,73.0,36.0,22.0,15.0,6.014
74067,1302.33,10.61,1.7727,3.0027,1.0,0.0,0.0,1.0,28.0
88112,2263.41,74.0,2.6528,2.5223,67.0,50.0,5.0,12.0,2.0
40343,5827.9,70.26,14.62,5.6443,50.0,0.0,50.0,0.0,2.42
60606,6891.32,155.89,11.6279,10.0559,50.0,1.0,49.0,0.0,0.0
80279,3381.91,394.36,4.7039,0.0075,1.0,0.0,1.0,0.0,0.0
19444,12.79,2.4,0.0781,0.0,0.0,0.0,0.0,0.0,0.0
61174,11979.53,76.17,19.7072,16.1523,21.0,0.0,19.0,2.0,0.19
105722,352.92,6.83,0.3403,0.2749,19.0,4.0,5.0,10.0,1.053
38721,895.4,5.5,2.3266,0.2686,2.0,0.0,2.0,0.0,29.0
48159,197.11,24.46,0.4601,0.2497,8.0,3.0,5.0,0.0,1.125
117363,2591.67,12.16,2.2186,1.824,6.0,0.0,5.0,1.0,0.333
122264,5854.66,44.28,4.8247,0.5687,6.0,0.0,1.0,5.0,0.5
177127,845.67,25.96,0.4921,0.384,276.0,147.0,102.0,27.0,4.069
141572,1812.26,40.67,1.3088,1.6628,77.0,26.0,36.0,15.0,3.468
223004,1784.66,22.97,0.8106,0.5555,73.0,5.0,68.0,0.0,5.753
26506,822.13,21.7,3.1836,1.3657,2.0,0.0,0.0,2.0,0.0
55281,931.62,17.17,1.7163,0.0,0.0,0.0,0.0,0.0,0.0
60847,210.29,86.68,0.4881,0.132,36.0,12.0,18.0,6.0,2.75
41543,1570.28,32.16,3.8573,0.0,0.0,0.0,0.0,0.0,0.0
72202,711.26,92.72,1.1135,0.1918,2.0,0.0,1.0,1.0,1.5
87186,684.83,24.46,0.8135,1.7735,32.0,0.0,28.0,4.0,0.094
49060,113.57,12.11,0.2562,0.4771,12.0,1.0,6.0,5.0,3.0
56349,39.32,2.19,0.0737,0.0302,1.0,1.0,0.0,0.0,27.0
40337,2238.05,26.41,5.6139,0.0,0.0,0.0,0.0,0.0,0.0
96981,88.95,0.04,0.0918,0.0344,31.0,25.0,5.0,1.0,8.516
13532,53.67,0.09,0.3973,0.0074,1.0,0.0,0.0,1.0,31.0
62051,1798.69,33.01,2.9519,1.3087,145.0,0.0,143.0,2.0,6.455
13037,524.26,20.0,4.1747,0.9013,4.0,0.0,1.0,3.0,0.25
24529,62.94,3.49,0.2708,0.3145,52.0,17.0,29.0,6.0,4.654
33068,795.86,48.03,2.552,1.4342,4.0,0.0,4.0,0.0,9.5
16880,212.06,9.48,1.3124,0.0,0.0,0.0,0.0,0.0,0.0
17739,414.4,56.07,2.6522,0.7244,2.0,1.0,1.0,0.0,8.5
13591,107.11,2.76,0.8084,4.6796,1.0,0.0,0.0,1.0,29.0
27321,192.63,8.75,0.7371,0.3642,20.0,2.0,5.0,13.0,19.95
19519,2433.85,20.85,12.5759,0.4047,1.0,0.0,1.0,0.0,0.0
25438,54.37,20.39,0.2939,0.1817,36.0,27.0,2.0,7.0,6.083
64446,1677.45,157.08,2.8466,0.747,5.0,0.0,5.0,0.0,1.6
37819,291.99,1.43,0.7758,0.0,0.0,0.0,0.0,0.0,0.0
35919,531.35,6.45,1.4973,0.0,0.0,0.0,0.0,0.0,0.0
36057,641.51,4.06,1.7904,0.0765,36.0,0.0,11.0,25.0,1.722
40271,20.88,6.91,0.069,0.0,0.0,0.0,0.0,0.0,0.0
50883,1038.83,66.07,2.1715,0.0211,4.0,0.0,4.0,0.0,0.75
67787,4120.78,101.05,6.2281,1.2757,17.0,6.0,8.0,3.0,3.529
49642,172.67,5.91,0.3598,0.2542,28.0,0.0,27.0,1.0,1.643
42693,92.09,5.09,0.2276,0.082,1.0,1.0,0.0,0.0,6.0
177790,3302.18,29.04,1.8737,7.75,27.0,0.0,21.0,6.0,0.556
64331,73.26,2.08,0.1171,0.5045,55.0,13.0,42.0,0.0,6.582
92537,11936.29,278.9,13.2003,5.7138,5.0,2.0,1.0,2.0,2.8
152051,14249.56,50.24,9.4046,5.376,6.0,1.0,5.0,0.0,0.0
88664,586.03,2.12,0.6634,0.3121,4.0,2.0,0.0,2.0,0.0
53730,1434.38,354.94,3.3302,0.0,0.0,0.0,0.0,0.0,0.0
96427,1653.06,71.84,1.7888,0.4957,1.0,0.0,0.0,1.0,0.0
20333,587.0,2.55,2.8995,0.567,14.0,1.0,12.0,1.0,3.5
21841,342.51,21.95,1.6687,2.5709,4.0,0.0,1.0,3.0,0.5
70412,1170.67,47.48,1.73,2.2511,26.0,0.0,25.0,1.0,1.885
51451,17.92,1.28,0.0373,0.0165,4.0,3.0,1.0,0.0,0.0
152555,6008.99,116.14,4.015,1.9509,9.0,2.0,2.0,5.0,0.0
96446,242.46,49.81,0.303,0.2479,44.0,23.0,21.0,0.0,4.659
82773,71.25,1.04,0.0873,0.122,4.0,2.0,2.0,0.0,4.25
90932,5678.67,34.28,6.2827,0.7305,9.0,0.0,2.0,7.0,0.111
96980,2276.4,5.2,2.3527,0.4382,1.0,1.0,0.0,0.0,0.0
57109,3311.89,139.71,6.0439,0.0,0.0,0.0,0.0,0.0,0.0
132690,343.01,52.56,0.2981,0.2776,35.0,1.0,33.0,1.0,6.8
99734,462.87,245.94,0.7107,0.2654,16.0,3.0,6.0,7.0,0.125
127275,4084.36,51.12,3.2492,0.4529,19.0,0.0,15.0,4.0,0.316
80116,1085.36,1.81,1.357,3.035,39.0,5.0,31.0,3.0,11.59
126576,1548.42,37.88,1.2532,1.6819,74.0,21.0,35.0,18.0,0.865
80578,1043.2,20.96,1.3207,0.6931,24.0,7.0,8.0,9.0,0.667
55462,3392.14,63.09,6.2299,0.2482,3.0,1.0,2.0,0.0,0.0
101130,8749.38,314.74,8.9628,3.6811,9.0,4.0,1.0,4.0,0.222
51447,2620.97,39.94,5.1721,2.6463,11.0,0.0,9.0,2.0,0.182
88491,809.22,8.89,0.9245,0.8897,113.0,0.0,0.0,113.0,13.752
72297,1685.67,15.02,2.3524,0.7639,4.0,0.0,1.0,3.0,0.0
167746,277.75,57.95,0.2001,0.097,60.0,26.0,25.0,9.0,5.917
57048,2870.47,52.3,5.1234,0.4876,6.0,1.0,3.0,2.0,1.333
55376,2555.19,73.86,4.7476,0.8643,5.0,1.0,1.0,3.0,0.0
91222,136.49,2.37,0.1522,0.0,0.0,0.0,0.0,0.0,0.0
70753,845.43,11.3,1.2109,0.2037,3.0,2.0,0.0,1.0,0.0
62078,1337.26,18.09,2.1833,0.7794,21.0,14.0,7.0,0.0,12.714
133840,628.34,14.37,0.4802,0.2948,8.0,1.0,4.0,3.0,0.25
